Time,CYP3A4_2_OCT_N,CYP3A4_3_OCT_N,CYP3A4_4_OCT_N,CYP3A4_5_OCT_N,CYP3A4_7_OCT_N,CYP3A4_8_OCT_N,CYP3A4_9_OCT_N,CYP3A4_10_OCT_N,CYP3A4_11_OCT_N,CYP3A4_12_OCT_N,CYP3A4_13_OCT_N,CYP3A4_14_OCT_N,CYP3A4_15_OCT_N,CYP3A4_16_OCT_N,CYP3A4_17_OCT_N,CYP3A4_18_OCT_N,CYP3A4_19_OCT_N,CYP3A4_20_OCT_N,CYP3A4_21_OCT_N,CYP3A4_23_OCT_N,CYP3A4_24_OCT_N,CYP3A4_28_OCT_N,CYP3A4_29_OCT_N,CYP3A4_31_OCT_N,CYP3A4_32_OCT_N,CYP3A4_33_OCT_N,CYP3A4_34_OCT_N
0.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
0.5,78.785268224,78.714744972,78.66604081,78.825143069,78.805972757,78.894709428,78.749563739,78.705588768,78.262777099,78.894710819,78.862878908,78.710704012,77.94709768,78.689152759,78.904930074,78.76169048,78.526583028,78.883207281,78.895832155,78.588264466,78.700726764,78.047023561,77.646351856,78.434268701,78.261006416,78.594946881,78.022798099
1.0,77.58922773,77.450530023,77.354824092,77.667710118,77.629973304,77.804736682,77.518990743,77.432532649,76.564941957,77.804739422,77.742022808,77.442586855,75.950276804,77.400231956,77.824879751,77.542842232,77.081147657,77.782071434,77.806949234,77.202126466,77.422976866,76.144249344,75.371305236,76.900286069,76.561483372,77.215239368,76.097292139
1.5,76.411587014,76.207004262,76.065953612,76.527440089,76.471726219,76.729868695,76.307960347,76.180472502,74.905565236,76.729872746,76.637197464,76.195294013,74.007918162,76.132863327,76.75964249,76.3431447,75.663146743,76.696371897,76.733138897,75.841109592,76.166386736,74.290325129,73.171963208,75.397386516,74.900498527,75.860408332,74.222060521
2.0,75.252059183,74.983822763,74.799040191,75.40407588,75.330960344,75.669895382,75.11615715,74.949055348,73.283740362,75.669900705,75.548172041,74.968477021,72.118451693,74.886679129,75.709014598,75.162292363,74.272044148,75.62589123,75.674191766,74.504746536,74.930599068,72.48393672,71.045544749,73.924918856,73.2771424,74.529993549,72.395722587
2.5,74.110361881,73.780646458,73.553701575,74.297364283,74.207408711,74.624609592,73.943270923,73.737934257,71.698582944,74.62461615,74.474719053,73.761793355,70.28035492,73.661318022,74.672795198,73.99998465,72.907314511,74.570415076,74.629901386,73.192578903,73.715262708,70.723806829,68.989379767,72.482245989,71.690527792,73.223543526,70.616937383
3.0,72.986217216,72.597142037,72.329562312,73.207055922,73.100808485,73.59380707,72.78899653,72.546768242,70.149230213,73.593814825,73.416614314,72.574906331,68.492151443,72.456424955,73.650786183,72.855925862,71.568443027,73.529732115,73.600064182,71.904157044,72.520032547,69.008694006,67.000904347,71.068744582,70.139789219,71.940615332,68.884402469
3.5,71.879351688,71.432981849,71.126253622,72.1329052,72.010900892,72.577286414,71.653033836,71.375222158,68.634840473,72.57729533,72.373636894,71.407485003,66.752409478,71.271651055,72.642792181,71.729825087,70.254925226,72.503634022,72.58447942,70.639039882,71.344569418,67.337391582,65.077656219,69.683804765,68.624082362,70.680774433,67.196852766
4.0,70.789496119,70.287843803,69.943413284,71.074670235,70.937431157,71.574849037,70.535087628,70.222966597,67.15459257,71.574859078,71.345569064,70.259204065,65.059740442,70.106653518,71.648620514,70.621396126,68.966266763,71.491915419,71.582949168,69.396794743,70.188539983,65.708726661,63.217270429,68.32682983,67.142583531,69.443594523,65.553059435
4.5,69.716385582,69.161411273,68.78068551,70.032112808,69.880148445,70.586299125,69.434867531,69.089677789,65.707685369,70.586310257,70.332196255,69.12974375,63.412797592,68.961095498,70.668081165,69.530357413,67.701983207,70.494373842,70.595278255,68.176997195,69.05161664,64.121559131,61.417475208,66.997235939,65.694489142,68.228657372,63.951828794
5.0,68.659759337,68.053373001,67.637720833,69.004998302,68.838805793,69.6114436,68.352087927,67.975037505,64.293337252,69.611455789,69.33330701,68.018789735,61.810274704,67.834646005,69.700986738,68.456431938,66.461599836,69.510809689,69.621274232,66.979230883,67.933477417,62.574780715,59.676088027,65.694451836,64.279015208,67.035552664,62.392001271
5.5,67.619360757,66.963423007,66.514175987,67.993095652,67.813160056,68.650092082,67.286467877,66.878732957,62.910785624,68.650105294,68.348692936,66.926033047,60.250904792,66.726979799,68.747152421,67.399347172,65.244651441,68.541026189,68.660747334,65.803087376,66.833805875,61.067314041,57.991011832,64.41791857,62.895396845,65.863877845,60.872450381
6.0,66.594937269,65.891260495,65.4097138,66.996177287,66.802971841,67.702056847,66.237731042,65.800456707,61.55928643,67.702071051,67.378148664,65.851169969,58.733458882,65.63777729,67.806395954,66.358834996,64.050682124,67.584829355,67.713510444,64.648166008,65.752291009,59.598111749,56.36023144,63.167089218,61.542887787,64.713237971,59.392081745
6.5,65.586240286,64.836589768,64.324003081,66.014019076,65.808005454,66.767152795,65.205605606,64.73990657,60.238113694,66.767167959,66.421471801,64.793901952,57.256744807,64.566724434,66.878537588,65.334631626,62.87924511,66.642027945,66.779379055,63.51407373,64.688627158,58.166155616,54.781810113,61.941428622,60.220759921,63.583245563,57.949832133
