CYP_allele,Vm,Vm_std,Km,Km_std,t_max_opt
CYP3A4_1A,3.5,0.1,16,1.2,1108
CYP3A4_2,10.3,0.2,321,0.8,7545
CYP3A4_3,2.5,0.1,51,1.7,4941
CYP3A4_4,5.7,1.9,94,48.5,3993
CYP3A4_5,2.9,0.1,129,1.6,10770
CYP3A4_7,1.6,0,59,5.9,8930
CYP3A4_9,2.4,0.1,59,1.5,5953
CYP3A4_10,2.1,0.1,41,4.2,4729
CYP3A4_11,14.5,0.5,91,8.4,1520
CYP3A4_13,0.8,0,60,2.3,18163
CYP3A4_14,1.9,0,38,1.1,4844
CYP3A4_15,4.5,0.3,16,0.7,1108
CYP3A4_16,1.6,0.1,29,7.3,4391
CYP3A4_18,1.7,0,45,1.1,6411
CYP3A4_19,3.2,0,34,2.6,2574
CYP3A4_23,2.3,0.1,29,0.1,3054
CYP3A4_24,2.2,0.1,42,3.7,4624
CYP3A4_28,2.4,0.1,11,0.7,1112
CYP3A4_29,8.2,0.5,12,0.5,1108
CYP3A4_31,2.1,0.2,18,6.6,2077
CYP3A4_32,4,0.3,25,2.1,1400
CYP3A4_33,1.4,0,18,4.4,3116
CYP3A4_34,2.9,0,12,2.9,1108
