Time,CYP3A4_1A_n1_OCT,CYP3A4_1A_n2_OCT,CYP3A4_1A_n3_OCT,CYP3A4_1A_n4_OCT,CYP3A4_2_n1_OCT,CYP3A4_3_n1_OCT,CYP3A4_4_n1_OCT,CYP3A4_4_n2_OCT,CYP3A4_4_n3_OCT,CYP3A4_4_n4_OCT,CYP3A4_5_n1_OCT,CYP3A4_7_n1_OCT,CYP3A4_8_n1_OCT,CYP3A4_9_n1_OCT,CYP3A4_10_n1_OCT,CYP3A4_11_n1_OCT,CYP3A4_11_n2_OCT,CYP3A4_11_n3_OCT,CYP3A4_11_n4_OCT,CYP3A4_12_n1_OCT,CYP3A4_13_n1_OCT,CYP3A4_14_n1_OCT,CYP3A4_15_n1_OCT,CYP3A4_15_n2_OCT,CYP3A4_15_n3_OCT,CYP3A4_15_n4_OCT,CYP3A4_16_n1_OCT,CYP3A4_17_n1_OCT,CYP3A4_18_n1_OCT,CYP3A4_19_n1_OCT,CYP3A4_20_n1_OCT,CYP3A4_21_n1_OCT,CYP3A4_23_n1_OCT,CYP3A4_24_n1_OCT,CYP3A4_28_n1_OCT,CYP3A4_28_n2_OCT,CYP3A4_28_n3_OCT,CYP3A4_28_n4_OCT,CYP3A4_29_n1_OCT,CYP3A4_29_n2_OCT,CYP3A4_29_n3_OCT,CYP3A4_29_n4_OCT,CYP3A4_31_n1_OCT,CYP3A4_32_n1_OCT,CYP3A4_32_n2_OCT,CYP3A4_32_n3_OCT,CYP3A4_32_n4_OCT,CYP3A4_33_n1_OCT,CYP3A4_34_n1_OCT,CYP3A4_34_n2_OCT,CYP3A4_34_n3_OCT,CYP3A4_34_n4_OCT
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.49659580117,0.49659580117,0.49659580117,0.49659580226,0.13124802268,0.18442152872,0.21808499336,0.21808499337,0.21808499336,0.21808499355,0.10006420062,0.11506884237,0.050195730352,0.15874218314,0.19097288266,0.42039475036,0.42039475036,0.42039475036,0.42039475036,0.050195559081,0.071646241925,0.1873393888,0.55691062484,0.55387113413,0.55691062484,0.52268045573,0.20250471515,0.04406338192,0.14953973261,0.30124319825,0.057569191806,0.049502120371,0.26673724561,0.1944036361,0.4956918353,0.4956918353,0.49569183455,0.4956918353,0.73715140336,0.73699221393,0.59684170856,0.55872764366,0.34758679373,0.42113513318,0.42113513318,0.42113513318,0.42113513318,0.26286648757,0.52048900168,0.52048900168,0.50894703726,0.49947506829
10,0.48997122456,0.48997122456,0.48997122456,0.48997122564,0.13098729422,0.1838626441,0.21726790414,0.21726790414,0.21726790414,0.21726790432,0.099924856189,0.11487562688,0.050178436767,0.15834273107,0.19036832971,0.41628209646,0.41628209646,0.41628209646,0.41628209646,0.050178265717,0.071587036857,0.18676043382,0.54739914847,0.54441135962,0.54739914846,0.51375136842,0.20181454396,0.044055049649,0.14919022965,0.2994963799,0.057539315448,0.049485909779,0.2654327239,0.19377431056,0.48910712433,0.48910712433,0.48910712329,0.48910712433,0.7073772013,0.7072243979,0.57270345369,0.53612287919,0.34509492105,0.41700435429,0.41700435429,0.41700435429,0.41700435429,0.26160643659,0.51284002559,0.51284002559,0.50146683665,0.49213340251
15,0.48343470148,0.48343470147,0.48343470147,0.48343470254,0.13072708367,0.18330545243,0.21645387541,0.21645387541,0.21645387541,0.2164538756,0.099785705786,0.11468273575,0.05016114914,0.15794428385,0.18976568948,0.41220965413,0.41220965413,0.41220965413,0.41220965413,0.050160978311,0.071527880706,0.18618326698,0.53804947034,0.53511251095,0.53804947034,0.50497424762,0.20112672303,0.044046718955,0.14884154321,0.29775968015,0.057509454594,0.049469704495,0.26413457517,0.19314702116,0.48260942728,0.48260942728,0.48260942625,0.48260942728,0.67879774485,0.67865107467,0.54953625754,0.51442811137,0.34262087195,0.41291401271,0.41291401271,0.41291401271,0.41291401271,0.26035241516,0.50530289447,0.50530289447,0.4940960376,0.48489913185
20,0.4769850699,0.4769850699,0.4769850699,0.47698507095,0.13046739002,0.18274994858,0.21564289573,0.21564289573,0.21564289573,0.21564289591,0.09964674914,0.11449016842,0.050143867469,0.15754683893,0.18916495595,0.40817703062,0.40817703062,0.40817703062,0.40817703062,0.050143696861,0.071468773432,0.18560788277,0.52885886002,0.52597187213,0.52885886002,0.49634652628,0.20044124436,0.044038389835,0.1484936714,0.29603304051,0.057479609236,0.049453504518,0.26284276834,0.19252176131,0.47619760628,0.47619760628,0.47619760527,0.47619760628,0.65136571131,0.65122493128,0.52730146341,0.49360706478,0.34016451952,0.40886371416,0.40886371416,0.40886371416,0.40886371416,0.2591043945,0.49787598923,0.49787598923,0.48683305568,0.47777070037
25,0.47062118296,0.47062118296,0.47062118296,0.470621184,0.13020821223,0.18219612746,0.21483495367,0.21483495368,0.21483495368,0.21483495386,0.099507985979,0.11429792437,0.050126591751,0.15715039381,0.18856612308,0.40418383702,0.40418383702,0.40418383702,0.40418383702,0.050126421364,0.071409714995,0.1850342757,0.51982463239,0.51698677233,0.51982463239,0.48786568001,0.1997581,0.044030062291,0.1481466123,0.29431640281,0.057449779367,0.049437309846,0.2615572725,0.19189852444,0.46987053806,0.46987053806,0.46987053706,0.46987053806,0.62503560381,0.62490048026,0.50596192132,0.47362488183,0.33772573774,0.40485306816,0.40485306816,0.40485306816,0.40485306816,0.25786234602,0.49055771373,0.49055771373,0.47967632895,0.47074657424
30,0.46434190869,0.46434190869,0.46434190869,0.46434190971,0.12994954928,0.18164398396,0.21403003788,0.21403003788,0.21403003788,0.21403003806,0.099369416035,0.11410600305,0.050109321986,0.15675494597,0.18796918486,0.40022968819,0.40022968819,0.40022968819,0.40022968819,0.050109151819,0.071350705353,0.18446244027,0.51094414695,0.50815458505,0.51094414694,0.47952922651,0.199077282,0.044021736322,0.14780036404,0.29260970925,0.057419964978,0.049421120477,0.26027805689,0.19127730402,0.46362711369,0.46362711369,0.4636271127,0.46362711369,0.59976368468,0.59963399298,0.48548193188,0.45444806958,0.3353044015,0.40088168802,0.40088168802,0.40088168802,0.40088168802,0.25662624122,0.48334649452,0.48334649452,0.47262431767,0.46382524144
35,0.45814612985,0.45814612985,0.45814612985,0.45814613086,0.12969140015,0.181093513,0.21322813701,0.21322813701,0.21322813701,0.2132281372,0.099231039039,0.11391440391,0.05009205817,0.15636049291,0.18737413531,0.39631420277,0.39631420277,0.39631420277,0.39631420277,0.050091888224,0.071291744468,0.18389237103,0.50221480709,0.49947272749,0.50221480709,0.47133472478,0.19839878245,0.044013411926,0.1474549247,0.29091290233,0.057390166061,0.04940493641,0.2590050909,0.19065809354,0.45746623849,0.45746623849,0.45746623752,0.45746623849,0.57550791095,0.57538343518,0.4658271919,0.43604444833,0.33290038656,0.39694919077,0.39694919077,0.39694919077,0.39694919077,0.25539605177,0.47624078046,0.47624078046,0.46567550398,0.45700521143
40,0.45203274377,0.45203274377,0.45203274377,0.45203274476,0.12943376382,0.18054470954,0.21242923978,0.21242923979,0.21242923979,0.21242923997,0.099092854722,0.11372312642,0.050074800302,0.15596703211,0.18678096845,0.39243700311,0.39243700311,0.39243700311,0.39243700311,0.050074630575,0.071232832298,0.18332406253,0.49363405941,0.49093865982,0.49363405941,0.46327977452,0.19772259348,0.044005089105,0.1471102924,0.28922592491,0.057360382608,0.049388757642,0.25773834405,0.19004088649,0.45138683179,0.45138683179,0.45138683083,0.45138683179,0.55222787192,0.55210840456,0.44696474203,0.41838310207,0.33051356957,0.39305519718,0.39305519718,0.39305519718,0.39305519718,0.25417174945,0.46923904247,0.46923904247,0.45882839161,0.45028501492
45,0.44600066211,0.44600066211,0.44600066211,0.44600066309,0.12917663926,0.17999756851,0.21163333496,0.21163333496,0.21163333496,0.21163333514,0.098954862816,0.11353217003,0.050057548379,0.15557456109,0.18618967834,0.38859771522,0.38859771522,0.38859771522,0.38859771522,0.050057378873,0.071173968803,0.18275750933,0.48519939299,0.48254988447,0.48519939299,0.45536201543,0.19704870723,0.043996767858,0.14676646527,0.28754872016,0.057330614611,0.049372584172,0.25647778603,0.18942567641,0.44538782681,0.44538782681,0.44538782586,0.44538782681,0.5298847288,0.52977007039,0.428862916,0.40143433058,0.32814382802,0.38919933165,0.38919933165,0.38919933165,0.38919933165,0.25295330619,0.46233977321,0.46233977321,0.45208150558,0.44366325431
