Time,CYP3A4_1A_n1_OCT_N,CYP3A4_1A_n2_OCT_N,CYP3A4_1A_n3_OCT_N,CYP3A4_1A_n4_OCT_N,CYP3A4_2_n1_OCT_N,CYP3A4_3_n1_OCT_N,CYP3A4_4_n1_OCT_N,CYP3A4_5_n1_OCT_N,CYP3A4_7_n1_OCT_N,CYP3A4_8_n1_OCT_N,CYP3A4_9_n1_OCT_N,CYP3A4_10_n1_OCT_N,CYP3A4_11_n1_OCT_N,CYP3A4_12_n1_OCT_N,CYP3A4_13_n1_OCT_N,CYP3A4_14_n1_OCT_N,CYP3A4_15_n1_OCT_N,CYP3A4_15_n3_OCT_N,CYP3A4_15_n4_OCT_N,CYP3A4_16_n1_OCT_N,CYP3A4_17_n1_OCT_N,CYP3A4_18_n1_OCT_N,CYP3A4_19_n1_OCT_N,CYP3A4_20_n1_OCT_N,CYP3A4_21_n1_OCT_N,CYP3A4_23_n1_OCT_N,CYP3A4_24_n1_OCT_N,CYP3A4_28_n1_OCT_N,CYP3A4_29_n1_OCT_N,CYP3A4_29_n2_OCT_N,CYP3A4_29_n3_OCT_N,CYP3A4_29_n4_OCT_N,CYP3A4_31_n1_OCT_N,CYP3A4_32_n1_OCT_N,CYP3A4_33_n1_OCT_N,CYP3A4_34_n1_OCT_N,CYP3A4_34_n3_OCT_N,CYP3A4_34_n4_OCT_N
0.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
5.0,64.142899096,64.142808291,64.142808291,64.142808291,75.148714037,73.317784401,72.204062896,76.265638729,75.724096348,78.122475009,74.190733379,73.098355193,66.16388759,78.122481541,77.312806525,73.219891942,62.628552522,62.628552525,63.710400929,72.715285035,78.357072116,74.5086441,69.592632131,77.842251423,78.148939049,70.652951717,72.983969654,64.166060252,58.501415849,58.653220465,58.682577559,58.513970831,68.217640879,66.143637917,70.773913509,63.534274306,63.534274306,63.543065606
10.0,51.566440838,51.566295617,51.566295617,51.566295617,70.600609314,67.211366216,65.192348769,72.710709685,71.683606295,76.289815644,68.816454009,66.811015587,54.81456669,76.289828393,74.718229602,67.032605515,49.213014987,49.213014993,50.916161475,66.115104414,76.748337237,69.405902787,60.585761048,75.743980907,76.34146857,62.434483739,66.602815111,51.602910443,43.251609543,43.473031648,43.515915088,43.269901448,58.233023068,54.781402576,62.647273157,50.611874827,50.611874827,50.625800669
15.0,41.56543747,41.565262823,41.565262823,41.565262823,66.33617752,61.629637243,58.883566502,69.326341555,67.865188295,74.50092745,63.843618313,61.081654464,45.489177605,74.500946114,72.212991489,61.38474644,38.814141209,38.814141216,40.832334936,60.133186401,75.173071661,64.663455362,52.784901763,73.703509933,74.576541033,55.204072476,60.797352993,41.608614066,32.318775399,32.563571351,32.611049521,32.338975972,49.762758959,45.448374408,55.484978469,40.439576236,40.439576236,40.456170655
20.0,33.591635246,33.59144806,33.59144806,33.59144806,62.337202676,56.526158236,53.205098123,66.104114676,64.256279332,72.754743367,59.241345215,55.859260687,37.813832192,72.754767652,69.793933833,56.227870055,30.724164122,30.724164129,32.857516441,54.709862702,73.630567364,60.255105647,46.023390239,71.719208664,72.853134736,48.839210176,55.514078203,33.637184748,24.399704118,24.642746997,24.68995055,24.419738602,42.569514479,37.769135611,49.169021586,32.408169791,32.408169791,32.425799478
25.0,27.217658298,27.217469725,27.217469725,27.217469725,58.586672895,51.858719914,48.09204678,63.0360373,60.845048063,71.050223018,54.981198514,51.097622453,31.485989464,71.050252643,67.458013167,51.518009113,24.407783492,24.407783499,26.529331909,49.791391429,72.120131655,56.156617827,40.158288849,69.789494488,71.170253138,43.233028952,50.704603288,27.262817477,18.606067092,18.834545876,18.878980455,18.624881518,36.454305667,31.440014061,43.596262743,26.048359996,26.048359996,26.065970705
30.0,22.109486166,22.109303328,22.109303328,22.109303328,55.068698366,47.588946493,43.486392288,60.114523156,57.62035088,69.386352019,51.036987603,46.754862712,26.260423249,69.386386713,65.202296596,47.215247977,19.458673312,19.458673319,21.491087902,45.329351544,70.641086823,52.345565379,35.066911459,67.912830594,69.526924224,38.292247092,46.325154827,22.152570691,14.326207354,14.534398033,14.574939701,14.343333908,31.250120193,26.214951569,38.676503512,20.997555512,20.997555512,21.014492767
35.0,18.005387894,18.005215106,18.005215106,18.005215106,51.768435125,43.681937503,39.336241702,57.332370224,54.571690704,67.762141308,47.384584949,42.79302088,21.938029468,67.76218081,63.023957643,43.283338527,15.567307486,15.567307492,17.466695838,41.280100998,69.192769809,48.801192011,30.643871704,66.087724607,67.922199876,33.935392633,42.336120842,18.045445932,11.134832724,11.320996233,11.357294189,11.150132334,26.81662962,21.894236102,34.330816786,16.974785933,16.974785933,16.990668551
40.0,14.6997549,14.699594541,14.699594541,14.699594541,48.672014154,40.105944056,35.595163908,54.682740667,51.689178329,66.176626489,44.001758854,39.177676108,18.356882487,66.176670548,60.920272261,39.689353556,12.49707122,12.497071226,14.241752593,37.604291653,67.774531874,45.504283635,26.798573477,64.31272726,66.355155267,30.091265713,38.701643904,14.736324218,8.7334143202,8.8979648868,8.9300879426,8.7469249464,23.035800711,18.315501521,30.490098296,13.761698778,13.761698778,13.776329929
45.0,12.030660871,12.030514011,12.030514011,12.030514011,45.76647546,36.832076154,32.221598521,52.159141848,48.963496157,64.628867199,40.86802019,35.877607847,15.385076142,64.628915573,58.888614999,36.403373871,10.066460645,10.06646065,11.649217749,34.266434853,66.385738282,42.43705044,23.453075547,62.586431101,64.824888269,26.697606682,35.389255173,12.063599422,6.9104656445,7.0548992162,7.083128407,6.9223137104,19.808248766,15.346525922,27.093809451,11.18812004,11.18812004,11.201424977
