Time,CYP3A4_1A_n1_SOC_N,CYP3A4_1A_n2_SOC_N,CYP3A4_1A_n3_SOC_N,CYP3A4_1A_n4_SOC_N,CYP3A4_2_n1_SOC_N,CYP3A4_3_n1_SOC_N,CYP3A4_4_n1_SOC_N,CYP3A4_4_n2_SOC_N,CYP3A4_4_n3_SOC_N,CYP3A4_4_n4_SOC_N,CYP3A4_5_n1_SOC_N,CYP3A4_7_n1_SOC_N,CYP3A4_8_n1_SOC_N,CYP3A4_9_n1_SOC_N,CYP3A4_10_n1_SOC_N,CYP3A4_11_n1_SOC_N,CYP3A4_11_n2_SOC_N,CYP3A4_11_n3_SOC_N,CYP3A4_11_n4_SOC_N,CYP3A4_12_n1_SOC_N,CYP3A4_13_n1_SOC_N,CYP3A4_14_n1_SOC_N,CYP3A4_15_n1_SOC_N,CYP3A4_15_n2_SOC_N,CYP3A4_15_n3_SOC_N,CYP3A4_15_n4_SOC_N,CYP3A4_16_n1_SOC_N,CYP3A4_17_n1_SOC_N,CYP3A4_18_n1_SOC_N,CYP3A4_19_n1_SOC_N,CYP3A4_20_n1_SOC_N,CYP3A4_21_n1_SOC_N,CYP3A4_23_n1_SOC_N,CYP3A4_24_n1_SOC_N,CYP3A4_28_n1_SOC_N,CYP3A4_28_n2_SOC_N,CYP3A4_28_n3_SOC_N,CYP3A4_28_n4_SOC_N,CYP3A4_29_n1_SOC_N,CYP3A4_29_n2_SOC_N,CYP3A4_29_n3_SOC_N,CYP3A4_29_n4_SOC_N,CYP3A4_31_n1_SOC_N,CYP3A4_32_n1_SOC_N,CYP3A4_32_n2_SOC_N,CYP3A4_32_n3_SOC_N,CYP3A4_32_n4_SOC_N,CYP3A4_33_n1_SOC_N,CYP3A4_34_n1_SOC_N,CYP3A4_34_n2_SOC_N,CYP3A4_34_n3_SOC_N,CYP3A4_34_n4_SOC_N
0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
5,64.125297066,64.125297066,64.125297066,64.125297066,63.978587173,63.992023664,64.001274409,64.001274409,64.001274409,64.001274409,63.970926672,63.97461044,63.957426573,63.98539965,63.993759228,64.079252949,64.079252949,64.079252949,64.079252949,63.957426155,63.963626777,63.992786242,64.17385713,64.17385713,64.17385713,64.17385713,63.996870328,63.955424396,63.983083528,64.027725423,63.959673398,63.957206875,64.015993786,63.994682815,64.124564643,64.124564643,64.124564643,64.124564643,64.47874178,64.47874178,64.47874178,64.47874178,64.045383213,64.079551102,64.079551102,64.079551102,64.079551102,64.014702346,64.142902162,64.142902162,64.142902162,64.142902162
10,51.538294271,51.538294271,51.538294271,51.538294271,51.186799136,51.219012952,51.241188824,51.241188824,51.241188824,51.241188824,51.168431265,51.177264173,51.136058087,51.203132523,51.223173648,51.428034471,51.428034471,51.428034471,51.428034471,51.136057084,51.1509267,51.220841127,51.654516225,51.654516225,51.654516225,51.654516225,51.230631778,51.131256501,51.197579614,51.304586016,51.14144627,51.135531216,51.276470172,51.225387729,51.536543888,51.536543888,51.536543888,51.536543888,52.382747979,52.382747979,52.382747979,52.382747979,51.346898861,51.428750299,51.428750299,51.428750299,51.428750299,51.273375209,51.580439548,51.580439548,51.580439548,51.580439548
15,41.531592161,41.531592161,41.531592161,41.531592161,40.969311342,41.02082599,41.056290432,41.056290432,41.056290432,41.056290432,40.939940144,40.954064315,40.888176669,40.995430395,41.027479864,41.355165148,41.355165148,41.355165148,41.355165148,40.888175066,40.911950543,41.023749683,41.717589501,41.717589501,41.717589501,41.717589501,41.039407254,40.880499446,40.986550566,41.157687501,40.8967919,40.887334255,41.112717764,41.031020665,41.528796008,41.528796008,41.528796008,41.528796008,42.883607276,42.883607276,42.883607276,42.883607276,41.225370925,41.356313106,41.356313106,41.356313106,41.356313106,41.107768161,41.599040264,41.599040264,41.599040264,41.599040264
20,33.555364653,33.555364653,33.555364653,33.555364653,32.804666184,32.873350882,32.920646623,32.920646623,32.920646623,32.920646623,32.765514147,32.784341042,32.696528296,32.839488456,32.882223964,33.319578954,33.319578954,33.319578954,33.319578954,32.696526161,32.728209618,32.877249706,33.804151833,33.804151833,33.804151833,33.804151833,32.898130239,32.686298436,32.827649258,33.055921063,32.708008564,32.695405763,32.995918028,32.886945789,33.551632648,33.551632648,33.551632648,33.551632648,35.368354912,35.368354912,35.368354912,35.368354912,33.146259505,33.321116022,33.321116022,33.321116022,33.321116022,32.989315261,33.645562544,33.645562544,33.645562544,33.645562544
25,27.181123672,27.181123672,27.181123672,27.181123672,26.277734423,26.360196134,26.41700152,26.41700152,26.41700152,26.41700152,26.230747219,26.253340205,26.147987703,26.319536492,26.370851985,26.896881762,26.896881762,26.896881762,26.896881762,26.147985142,26.185989427,26.364878292,27.481495506,27.481495506,27.481495506,27.481495506,26.389955849,26.135718845,26.305323158,26.579579731,26.161757273,26.146641385,26.507447289,26.376522736,27.176629106,27.176629106,27.176629106,27.176629106,29.379954675,29.379954675,29.379954675,29.379954675,26.688238067,26.898737542,26.898737542,26.898737542,26.898737542,26.49951235,27.289976178,27.289976178,27.289976178,27.289976178
30,22.074067214,22.074067214,22.074067214,22.074067214,21.057885263,21.15033399,21.214055832,21.214055832,21.214055832,21.214055832,21.005236189,21.030549045,20.912555195,21.104742068,21.1622851,21.753542424,21.753542424,21.753542424,21.753542424,20.912552329,20.955104603,21.155585227,22.413519323,22.413519323,22.413519323,22.413519323,21.183713834,20.898821069,21.088808287,21.396595484,20.927970978,20.911048016,21.315576981,21.168645533,22.069002218,22.069002218,22.069002218,22.069002218,24.575095655,24.575095655,24.575095655,24.575095655,21.518731677,21.755637562,21.755637562,21.755637562,21.755637562,21.306668263,22.197002429,22.197002429,22.197002429,22.197002429
35,17.971919908,17.971919908,17.971919908,17.971919908,16.881671243,16.980430703,17.048553278,17.048553278,17.048553278,17.048553278,16.825468053,16.852486132,16.726601004,16.931715563,16.993204135,17.626933089,17.626933089,17.626933089,17.626933089,16.726597948,16.771979205,16.986043163,18.338310274,18.338310274,18.338310274,18.338310274,17.016111069,16.71195788,16.914695395,17.243929732,16.743039459,16.724993974,17.15717256,17.000002755,17.966470141,17.966470141,17.966470141,17.966470141,20.694033363,20.694033363,20.694033363,20.694033363,17.374844043,17.629190027,17.629190027,17.629190027,17.629190027,17.147637738,18.104497564,18.104497564,18.104497564,18.104497564
40,14.66869832,14.66869832,14.66869832,14.66869832,13.539086456,13.640870535,13.711144029,13.711144029,13.711144029,13.711144029,13.481212301,13.509029155,13.379494916,13.590649485,13.654043398,14.309861851,14.309861851,14.309861851,14.309861851,13.379491775,13.426167213,13.646658353,15.051113706,15.051113706,15.051113706,15.051113706,13.677671369,13.364439358,13.573109662,13.912980876,13.396399372,13.377842501,13.823302687,13.661055314,14.663029833,14.663029833,14.663029833,14.663029833,17.538875,17.538875,17.538875,17.538875,14.048463333,14.31221059,14.31221059,14.31221059,14.31221059,13.813452857,14.806928288,14.806928288,14.806928288,14.806928288
45,12.002222076,12.002222076,12.002222076,12.002222076,10.862654929,10.964693277,11.035219152,11.035219152,11.035219152,11.035219152,10.804695894,10.832548197,10.702934992,10.914330189,10.977908812,11.638562822,11.638562822,11.638562822,11.638562822,10.702931851,10.749610457,10.970499656,12.391354159,12.391354159,12.391354159,12.391354159,11.001618928,10.687884528,10.896748443,11.238127494,10.719837285,10.70128299,11.147910973,10.984944285,11.996475694,11.996475694,11.996475694,11.996475694,14.957829963,14.957829963,14.957829963,14.957829963,11.374613735,11.640943559,11.640943559,11.640943559,11.640943559,11.138009004,12.142703397,12.142703397,12.142703397,12.142703397
